_id,username,userid,avatar_thumbnail,is_official,name,bio_links,total_video_visit,video_count,start_date,start_date_timestamp,followers_count,following_count,country,platform,created_at,update_count
IRANINTL,IRANINTL,IRANINTL,https://yt3.googleusercontent.com/kxiHJONezL2lDnkbqmlBSTXqbn38iKTzmRIPfbgrPI1cKB_u_XiglvqtYcUSOyn_KtYFOkiESPo=s160-c-k-c0x00ffffff-no-rj,,IRANINTL,"[""iranintl.com"",""facebook.com/iranintl"",""twitter.com/IranIntl"",""instagram.com/iranintltv"",""t.me/IranintlTV""]",1329966348,105942,2016-05-15 00:00:00,1463270400,675000,,United Kingdom,youtube,,2
AwazAfghanistan,AwazAfghanistan,AwazAfghanistan,https://yt3.googleusercontent.com/JZegMcnl3hjsEacE9rwDS0XUQDqxIh7aB5VXIoXRp5KRs3lMiPTkg0DgBK_gcW9QE0pKw_mrMA=s160-c-k-c0x00ffffff-no-rj,,AwazAfghanistan,[],3584323,1239,2015-05-18 00:00:00,1431907200,18800,,Malaysia,youtube,,2
MZdsj3-b1t,MZdsj3-b1t,MZdsj3-b1t,https://yt3.googleusercontent.com/hrVtv7zIUGEw0l799Ypod1Ua6ZMaS7UsDwpbfO8cQ5NrPQtiRJHW7in_-AbDgXxbF8WjlPbVxA=s160-c-k-c0x00ffffff-no-rj,,MZdsj3-b1t,[],1951566,51,2024-09-09 00:00:00,1725840000,52700,,Hong Kong,youtube,,2
thetech10,thetech10,thetech10,https://yt3.googleusercontent.com/R_rhIsWAlgG-fJCq-YRNKdZbXVjYvkjFqi23T6XY8pmAsXQTY4VM8XIeHSkrh6wuzO7p1huU=s160-c-k-c0x00ffffff-no-rj,,thetech10,"[""linktr.ee/TheTech10"",""gsyberir@gmail.com"",""instagram.com/saied.joola.thetech"",""t.me/thetechjoola"",""discord.com""]",7844695,354,2021-08-27 00:00:00,1630022400,53300,,Netherlands,youtube,,2
Ahwaz_News,Ahwaz_News,Ahwaz_News,https://yt3.googleusercontent.com/1I7P9RtTEzFKVbjBVZO_WS-Q305THa2s4XPs8hLcx9nk8ez8qb94olOx6mfUenpmieJvjWeGQWE=s160-c-k-c0x00ffffff-no-rj,,Ahwaz_News,[],244002,1378,2019-10-10 00:00:00,1570665600,858,,United States,youtube,,2
user-dxnem,user-dxnem,user-dxnem,https://yt3.googleusercontent.com/E3UpKpOYfsCRxySWBXdJZbMuc4IfPiM9WN_orUynbiAY-5klyAHS8S_2geWIxh7XDnOR1Ehn=s160-c-k-c0x00ffffff-no-rj,,user-dxnem,"[""facebook.com/-dxn-493546031140629"",""instagram.com/emadiraqii"",""dxnem.com"",""wa.me/9647710131160""]",238536,998,2022-03-03 00:00:00,1646265600,2200,,Iraq,youtube,,2
CyberHead_plus,CyberHead_plus,CyberHead_plus,https://yt3.googleusercontent.com/yuZjF_5hq2kJ0_rNU3ye9PaaV69mvgQvgg0BnV-kZkDghHlZJsxxpEDsZQvFwcQemYGQt7F1=s160-c-k-c0x00ffffff-no-rj,,CyberHead_plus,[],9201,14,2024-11-11 00:00:00,1731283200,34,,United Kingdom,youtube,,2
wondersoftheuniverse338,wondersoftheuniverse338,wondersoftheuniverse338,https://yt3.googleusercontent.com/-PR6uV918RUBEAmBkK1nEYqePGy_FvFfYaAYNSXSu8NGyOl7leCkSN_BWMV50AhJjH1X8AiR9g=s160-c-k-c0x00ffffff-no-rj,,wondersoftheuniverse338,[],4412,14,2023-04-02 00:00:00,1680393600,20,,Saudi Arabia,youtube,,2
LeckermitSophieMayer,LeckermitSophieMayer,LeckermitSophieMayer,https://yt3.googleusercontent.com/RU1nGWLrBUbIUSungRAPaTYLyeQ95XdEer-LRhrCTyniro1OKsJmLUvzY2qXTtj0uQN0LP-YXg=s160-c-k-c0x00ffffff-no-rj,,LeckermitSophieMayer,[],164940386,924,2020-06-11 00:00:00,1591833600,918000,,Germany,youtube,,2
ecoaxon,ecoaxon,ecoaxon,https://yt3.googleusercontent.com/jJVcur3RrV5lQE8IHHaejv3eb1uPEoIwlaQf381ngwKnTiuNiySXCdaEbpW5NXg6wQxVlJLp=s160-c-k-c0x00ffffff-no-rj,,ecoaxon,[],16775,22,2024-12-04 00:00:00,1733270400,98,,Türkiye,youtube,,2
